序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,勇士,0,0,0,0,11000,1,-1,[],[]
2,盗贼,0,0,0,0,15000,3,-1,[],[]
3,牧师,0,0,0,0,34000,4,-1,[],[]
4,勇士,0,0,0,0,42000,1,-1,[],[]
5,火枪,0,0,0,0,44000,2,-1,[],[]
6,盗贼,0,0,0,0,47600,3,-1,[],[]
7,牧师,0,0,0,0,62000,4,-1,[8],[]
8,牧师循环,0,1,0,0,25200,4,-1,[8],[]
9,火枪,0,0,0,0,70000,2,-1,[10],[]
10,火枪循环,0,1,0,0,22600,2,-1,[10],[]
11,盗贼,0,0,0,0,72000,3,-1,[12],[]
12,盗贼循环,0,1,0,0,13200,3,-1,[12],[]
13,5星盾妹,0,0,3,3,3600,5,-1,[14],[]
14,盾妹循环,0,1,0,0,18600,5,-1,[14],[]
