序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,出场盾妹,0,0,0,0,25000,5,1,[2],[]
2,盾妹循环,0,1,0,0,32000,5,1,[2],[]
3,出场勇士,0,0,0,0,26000,1,-1,[4],[]
4,勇士循环,0,1,0,0,32000,1,-1,[4],[]
5,出场铁匠,0,0,0,0,27000,4,-1,[6],[]
6,铁匠循环,0,1,0,0,32000,4,-1,[6],[]
7,出场火枪,0,0,0,0,47000,2,-1,[8],[]
8,火枪循环,0,1,0,0,32000,2,-1,[8],[]
9,出场盗贼,0,0,0,0,49000,3,-1,[10],[]
10,盗贼循环,0,1,0,0,32000,3,-1,[10],[]
11,血量骑士,0,0,2,60.5,1000,6,-1,[],[]
12,开场骑士,0,0,0,0,6000,6,-1,[13],[]
13,开场骑士循环,0,1,0,0,120000,6,-1,[13],[]
