序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,发兵跳转,0,0,0,0,20000,1,-1,[2+3],[]
2,盗贼,0,1,0,0,5000,1,-1,[],[]
3,火女,0,1,0,0,11000,3,-1,[4],[]
4,维京人,0,1,0,0,13000,2,-1,[5],[]
5,牧师,0,1,0,0,12000,4,-1,[6+7+8+9],[]
6,吸血鬼,0,1,0,0,14000,7,-1,[12+10+11],[]
7,巫妖,0,1,0,0,10000,6,-1,[14+13],[]
8,盗贼,0,1,3,1,18000,1,-1,[8],[]
9,牧师,0,1,3,2,25000,4,-1,[9],[]
10,维京人,0,1,3,3,27000,2,-1,[10],[]
11,火女,0,1,3,4,22000,3,-1,[11],[]
12,吸血鬼,0,1,3,5,25000,7,-1,[12],[]
13,巫妖,0,1,3,6,35000,6,-1,[13],[]
14,圣骑士,0,1,3,7,33000,5,-1,[14],[]
