序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,2星火女,1,0,0,0,6807,3,-1,[],[]
2,2星牧师,1,0,0,0,7114,4,-1,[],[]
3,2星影舞者,1,0,0,0,8154,7,-1,[],[]
4,2星骑士,1,0,0,0,7614,5,-1,[],[]
5,2星盾妹,1,0,0,0,5770,6,-1,[],[]
6,2星盾妹,1,0,0,0,5770,6,-1,[],[]
7,2星盾妹,1,0,0,0,5770,6,-1,[],[]
8,2星铁匠,1,0,0,0,6304,2,-1,[],[]
9,2星铁匠,1,0,0,0,6304,2,-1,[],[]
10,2星铁匠,1,0,0,0,6304,2,-1,[],[]
11,2星勇士,1,0,0,0,5206,1,-1,[],[]
12,2星勇士,1,0,0,0,5206,1,-1,[],[]
13,2星勇士,1,0,0,0,5206,1,-1,[],[]
