序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,大树,0,0,0,0,22000,6,-1,[],[]
2,弓箭手,0,0,0,0,27000,2,-1,[],[]
3,小鹿,0,0,0,0,32000,4,-1,[],[]
4,弓箭手,0,0,0,0,53000,2,-1,[],[]
5,牛头人,0,0,0,0,61600,1,-1,[],[]
6,小鹿,0,0,0,0,66000,4,-1,[],[]
7,狼人,0,0,0,0,73000,3,-1,[],[]
8,弓箭手,0,0,0,0,94000,2,-1,[],[]
9,牛头人,0,0,0,0,98000,1,-1,[10],[]
10,牛头人循环,0,1,0,0,21000,1,-1,[10],[]
11,弓箭手,0,0,0,0,116000,2,-1,[12],[]
12,弓箭手循环,0,1,0,0,22000,2,-1,[12],[]
13,大树,0,0,0,0,214000,6,-1,[],[]
