序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,幽灵循环,0,0,0,0,30000,1,-1,[1],[]
2,僵尸开幕,0,0,0,0,2000,2,-1,[3+4+5],[]
3,骷髅弓箭手,0,1,0,0,10000,5,-1,[],[]
4,骷髅弓箭手,0,1,0,0,25000,5,-1,[],[]
5,骷髅弓箭手,0,1,0,0,30000,5,-1,[2],[]
6,一分钟更换发兵,0,0,0,0,60000,,-1,[7],[2+3+4+5]
7,僵尸开幕,0,1,0,0,6000,2,-1,[8+9+10+11],[]
8,骷髅弓箭手,0,1,0,0,12000,5,-1,[],[]
9,骷髅弓箭手,0,1,0,0,15000,5,-1,[],[]
10,屠夫,0,1,0,0,20000,4,-1,[],[]
11,骷髅弓箭手,0,1,0,0,26000,5,-1,[7],[]
12,一分半更换发兵,0,0,0,0,125000,,-1,[13],[7+8+9+10+11]
13,僵尸开幕,0,1,0,0,6000,2,-1,[14+15+16+17+18],[]
14,骷髅弓箭手,0,1,0,0,12000,5,-1,[],[]
15,骷髅弓箭手,0,1,0,0,15000,5,-1,[],[]
16,屠夫,0,1,0,0,20000,4,-1,[],[]
17,死亡骑士,0,1,0,0,23000,3,-1,[],[]
18,骷髅弓箭手,0,1,0,0,26000,5,-1,[13],[]
