序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,狼人,0,0,0,0,11000,1,-1,[],[]
2,小鹿,0,0,0,0,15000,3,-1,[],[]
3,夜刃,0,0,0,0,32000,4,-1,[],[]
4,精灵弓箭手,0,0,0,0,47000,2,-1,[],[]
5,夜刃,0,0,0,0,52000,4,-1,[6],[]
6,夜刃循环,0,1,0,0,21200,4,-1,[6],[]
7,狼人,0,0,0,0,60000,1,-1,[8],[]
8,狼人循环,0,1,0,0,22000,1,-1,[8],[]
9,小鹿,0,0,0,0,62000,3,-1,[10],[]
10,小鹿循环,0,1,0,0,23200,3,-1,[10],[]
11,5星小精灵,0,0,0,0,3000,5,-1,[12],[]
12,小精灵循环,0,1,0,0,16600,5,-1,[12],[]
