序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,勇士,0,0,0,0,16000,1,-1,[2],[]
2,火枪,0,1,0,0,16000,2,-1,[3],[]
3,盗贼,0,1,0,0,16000,3,-1,[4],[]
4,牧师,0,1,0,0,16000,4,-1,[5],[]
5,灰狼,0,1,0,0,16000,6,-1,[6],[]
6,小鹿,0,1,0,0,16000,7,-1,[1],[]
7,黑熊,0,0,0,0,35000,5,-1,[7],[]
8,勇士,0,0,3,5,30000,1,-1,[8],[]
9,牧师,0,0,3,5,35000,4,-1,[9],[]
10,小鹿,0,0,3,6,50000,7,-1,[10],[]
11,小鹿,0,0,3,6,50000,7,-1,[11],[]
