序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,初始循环,0,0,0,0,0,,-1,[2+3],[]
2,初始循环,0,1,0,0,9000,3,-1,[],[]
3,初始循环,0,1,0,0,20000,1,-1,[1],[]
4,石柱1循环,0,0,1,1000,0,0,0,[5+6],[]
5,石柱1循环,0,1,0,0,10000,2,-1,[],[]
6,石柱1循环,0,1,0,0,15000,1,-1,[4],[]
7,石柱2循环,0,0,1,450,0,0,0,[8+9+10+11],[1]
8,石柱2循环,0,1,0,0,10000,3,-1,[],[]
9,石柱2循环,0,1,0,0,14000,2,-1,[],[]
10,石柱2循环,0,1,0,0,15000,1,-1,[],[]
11,石柱2循环,0,1,0,0,15000,1,-1,[7],[]
