序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,野猪,0,0,0,0,5000,3,-1,[2],[]
2,野猪循环,0,1,0,0,15000,3,-1,[2],[]
3,野狼1,0,0,0,0,21500,1,-1,[],[]
4,野狼1,0,0,0,0,22000,1,-1,[],[]
5,野狼1,0,0,0,0,22500,1,-1,[],[]
6,野狼2,0,0,0,0,51500,1,-1,[],[]
7,野狼2,0,0,0,0,52000,1,-1,[],[]
8,野狼2,0,0,0,0,52500,1,-1,[],[]
9,野狼3,0,0,0,0,81500,1,-1,[],[]
10,野狼3,0,0,0,0,82000,1,-1,[],[]
11,野狼3,0,0,0,0,82500,1,-1,[],[]
12,血量黑熊,0,0,2,75.5,1000,2,-1,[],[]
