序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,勇士,1,0,0,0,2000,1,-1,[],[]
2,火枪手,1,0,0,0,2972,2,-1,[],[]
3,盗贼,1,0,0,0,4586,3,-1,[],[]
4,铁匠,1,0,0,0,4799,4,-1,[],[]
5,火女,1,0,0,0,6044,5,-1,[],[]
6,骑士,1,0,0,0,6934,6,-1,[],[]
7,勇士,1,0,0,0,12000,1,-1,[],[]
8,火枪手,1,0,0,0,12972,2,-1,[],[]
9,盗贼,1,0,0,0,14586,3,-1,[],[]
10,铁匠,1,0,0,0,14799,4,-1,[],[]
11,火女,1,0,0,0,16044,5,-1,[],[]
12,骑士,1,0,0,0,16934,6,-1,[],[]
13,火女,1,0,0,0,26044,5,-1,[],[]
14,骑士,1,0,0,0,26934,6,-1,[],[]
