序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,死骑,0,0,0,0,12785,1,-1,[],[]
2,死骑,0,0,0,0,14147,1,-1,[],[]
3,死骑,0,0,0,0,22644,1,-1,[],[]
4,雪女,0,0,0,0,5052,2,-1,[],[]
5,雪女,0,0,0,0,8591,2,-1,[],[]
6,雪女,0,0,0,0,11551,2,-1,[],[]
7,雪女,0,0,0,0,15107,2,-1,[],[]
8,僵尸,0,0,0,0,3405,3,-1,[],[]
9,僵尸,0,0,0,0,15475,3,-1,[],[]
10,僵尸,0,0,0,0,4535,3,-1,[],[]
11,僵尸,0,0,0,0,6064,3,-1,[],[]
12,僵尸,0,0,0,0,7623,3,-1,[],[]
13,僵尸,0,0,0,0,8211,3,-1,[],[]
