序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,派发紧随二星幽灵1,0,1,0,0,0,1,-1,[],[]
2,派发紧随二星骷髅召唤师2,0,1,0,0,0,2,-1,[],[]
3,开场派发幽灵1,0,0,0,0,5000,1,-1,[4],[]
4,前期幽灵1,0,1,0,0,15000,1,-1,[5],[]
5,前期幽灵2,0,1,0,0,14000,2,-1,[6],[]
6,前期幽灵3,0,1,0,0,13000,1,-1,[7],[]
7,中期骷髅召唤师1,0,1,0,0,15000,1,-1,[8],[]
8,中期骷髅召唤师与幽灵2,0,1,0,0,14000,1,-1,[9],[]
9,中期骷髅召唤师3,0,1,0,0,13000,2,-1,[10],[]
10,中期骷髅召唤师与幽灵4,0,1,0,0,15000,1,-1,[11],[]
11,中期骷髅召唤师5,0,1,0,0,14000,2,-1,[12],[]
12,中期骷髅召唤师与幽灵6,0,1,0,0,13000,1,-1,[13+1],[]
13,后期幽灵与骷髅召唤师1,0,1,0,0,15000,1,-1,[14+1],[]
14,后期幽灵与骷髅召唤师2,0,1,0,0,14000,2,-1,[15],[]
15,后期幽灵与骷髅召唤师3,0,1,0,0,13000,1,-1,[16],[]
16,循环幽灵与骷髅召唤师1,0,1,0,0,12000,1,-1,[16],[]
17,召唤师血量低于50派发屠夫1,0,0,2,50,0,4,-1,[18],[]
18,召唤师血量低于50触发雪女2,0,1,0,0,0,3,-1,[19],[]
19,循环派发雪女2,0,1,0,0,20000,3,-1,[19],[]
