序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,盾妹,0,0,0,0,6000,1,-1,[2],[]
2,盾妹循环,0,1,0,0,20000,1,-1,[2],[]
3,铁匠,0,0,0,0,6000,2,-1,[4],[]
4,铁匠循环,0,1,0,0,20000,2,-1,[4],[]
5,火枪,0,0,0,0,7000,3,-1,[6+7],[]
6,火枪循环,0,1,0,0,18000,3,-1,[6],[]
7,火枪循环,0,1,0,0,17000,3,-1,[7],[]
8,牧师,0,0,0,0,14000,4,-1,[9],[]
9,牧师循环,0,1,0,0,40000,4,-1,[9],[]
10,维京人,0,0,0,0,55000,5,-1,[10],[]
11,维京人循环,0,1,0,0,40000,5,-1,[10],[]
12,血量骑士,0,0,2,80.5,200,6,-1,[],[]
13,血量骑士,0,0,2,60.5,200,6,-1,[],[]
14,血量骑士,0,0,2,40.5,200,6,-1,[],[]
15,血量骑士,0,0,2,20.5,200,6,-1,[],[]
