序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,骷髅兵1号,0,1,0,0,500,2,-1,[2+3+4+5],[]
2,骷髅兵2号,0,1,0,0,500,2,-1,[],[]
3,骷髅兵3号,0,1,0,0,500,2,-1,[],[]
4,骷髅兵4号,0,1,0,0,500,3,-1,[],[]
5,骷髅兵5号,0,0,0,0,15000,3,-1,[1],[]
6,死亡骑士冲一波,0,0,2,90,500,7,-1,[],[]
7,刺客一号,0,0,2,90,2000,4,-1,[8],[]
8,刺客二号,0,1,2,90,10000,4,-1,[9],[]
9,刺客三号,0,1,2,90,20000,4,-1,[7],[]
10,狼人一号,0,0,2,90,1000,6,-1,[11],[]
11,狼人二号,0,1,2,90,15000,6,-1,[11],[]
12,狼,0,1,0,0,12000,1,-1,[13+14],[]
13,狼,0,0,0,0,500,1,-1,[],[]
14,狼,0,0,0,0,1000,1,-1,[12],[]
15,死亡骑士冲一波,0,0,0,0,2000,7,-1,[],[]
