序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,野狼,0,0,0,0,3000,1,1,[2],[]
2,野狼,0,1,0,0,5000,1,1,[2],[]
3,野狼2,0,0,0,0,3400,1,0,[4],[]
4,野狼2,0,1,0,0,5000,1,0,[4],[]
5,野狼3,0,0,0,0,3800,1,2,[6],[]
6,野狼3,0,1,0,0,5000,1,2,[6],[]
7,狼人,0,0,0,0,10000,4,-1,[8],[]
8,狼人,0,1,0,0,12000,4,-1,[8],[]
9,夜刃,0,0,0,0,60000,3,-1,[10],[]
10,夜刃,0,1,0,0,20000,3,-1,[10],[]
11,小鹿,0,0,0,0,90000,5,-1,[12],[]
12,小鹿,0,1,0,0,18000,5,-1,[12],[]
13,血量狼人,0,0,2,88.5,1000,4,-1,[],[]
14,血量狼人,0,0,2,44.5,1000,4,-1,[],[]
