序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,5星巫妖,1,0,0,0,5162,4,-1,[],[]
2,4星幽灵,1,0,0,0,5662,1,-1,[],[]
3,4星屠夫,1,0,0,0,6155,3,-1,[],[]
4,4星屠夫,1,0,0,0,6655,3,-1,[],[]
5,4星幽灵,1,0,0,0,7162,1,-1,[],[]
6,3星骷髅召唤师,1,0,0,0,7638,2,-1,[],[]
7,3星骷髅召唤师,1,0,0,0,8138,2,-1,[],[]
8,3星骷髅召唤师,1,0,0,0,8638,2,-1,[],[]
9,4星幽灵,1,0,0,0,9162,1,-1,[],[]
10,4星吸血鬼,1,0,0,0,9612,5,-1,[],[]
11,4星幽灵,1,0,0,0,10162,1,-1,[],[]
