序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,狼人出场,0,0,0,0,200,1,-1,[2],[]
2,狼人循环,0,1,0,0,30000,1,-1,[2],[]
3,牛头人循环,0,0,0,0,55000,2,-1,[4],[]
4,牛头人循环,0,1,0,0,55000,2,-1,[4],[]
5,大树,0,0,0,0,90000,3,-1,[6],[]
6,大树循环,0,1,0,0,90000,3,-1,[6],[]
7,血量小鹿,0,0,2,90.5,28000,4,-1,[7],[]
9,血量小鹿,0,0,2,70.5,200,4,-1,[],[]
11,血量小鹿,0,0,2,50.5,19000,4,-1,[11],[]
12,血量小鹿,0,0,2,40.5,200,4,-1,[],[]
13,狼人出场,0,0,0,0,8000,1,-1,[14],[]
14,狼人循环,0,1,0,0,27000,1,-1,[14],[]
15,精灵弓箭手,0,0,1,700,10000,5,-1,[16],[]
16,精灵弓箭手,0,1,1,700,28000,5,-1,[16],[]
