序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,出场跳转,0,0,0,0,1000,0,2,[2+3],[]
2,精灵弓手,0,1,0,0,5000,1,1,[3+4],[]
3,嗜血狼人,0,1,0,0,6000,3,2,[],[]
4,夜刃,0,1,0,0,6000,2,3,[5],[]
5,精灵弓手,0,1,0,0,7000,1,1,[6+7],[]
6,幽灵,0,1,0,0,6000,5,1,[],[]
7,精灵弓手,0,1,0,0,7000,1,2,[8],[]
8,嗜血狼人,0,1,0,0,5000,3,3,[9],[]
9,精灵弓手,0,1,0,0,7000,1,1,[10+11+12],[]
10,嗜血牛头,0,1,0,0,6000,4,1,[],[]
11,雪女,0,1,0,0,7000,6,2,[],[]
12,雪女,0,1,0,0,7000,6,2,[1],[]
13,嗜血牛头（90血）,0,0,2,90,1000,4,1,[],[]
14,嗜血牛头（90血）,0,0,2,90,1000,4,1,[],[]
15,石巨人（60血）,0,0,2,60,1000,7,1,[],[]
16,石巨人（30血）,0,0,2,30,1000,7,1,[],[]
