序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件,
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,,
,Null,,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json,
1,发兵跳转,0,0,0,0,3000,0,-1,[2+3+4],[],
2,盗贼小妹,0,1,0,0,12000,1,-1,[],[],
3,盗墓小弟,0,1,0,0,12000,2,-1,[],[],
4,爆破工,0,1,0,0,12000,3,-1,[5+6],[],
5,僵尸,0,1,0,0,12000,4,-1,[],[],
6,僵尸,0,1,0,0,12000,4,-1,[7+8],[],
7,死灵召唤师,0,1,0,0,13000,6,-1,[],[],
8,死灵召唤师,0,1,0,0,13000,6,-1,[9+10],[],
9,幽灵,0,1,0,0,13000,5,-1,[],[],
10,幽灵,0,1,0,0,13000,5,-1,[11+12],[],
11,雪女,0,1,0,0,11000,7,-1,[],[],
12,雪女,0,1,0,0,11000,7,-1,[13+14],[],
13,幽灵,0,1,0,0,12000,5,-1,[],[],
14,幽灵,0,1,0,0,12000,5,-1,[15+16],[],
15,死灵召唤师,0,1,0,0,10000,6,-1,[],[],
16,死灵召唤师,0,1,0,0,10000,6,-1,[17+18+19+20],[], 
17,幽灵,0,1,0,0,15000,5,-1,[],[],
18,盗贼小妹,0,1,0,0,15000,1,-1,[],[],
19,盗墓小弟,0,1,0,0,15000,2,-1,[],[],
20,爆破工,0,1,0,0,15000,3,-1,[1],[],
