序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,发兵跳转,0,0,0,0,20000,1,-1,[2+3],[]
2,勇士,0,1,0,0,8000,1,-1,[],[]
3,火枪,0,1,0,0,10000,2,-1,[4],[]
4,盗贼,0,1,0,0,10000,3,-1,[5],[]
5,牧师,0,1,0,0,12000,6,-1,[6+7],[]
6,勇士,0,1,0,0,10000,1,-1,[],[]
7,老铁匠,0,1,0,0,10000,4,-1,[2+3],[]
8,维京人,0,0,3,5,25000,5,-1,[8],[]
9,牧师,0,0,3,5,25000,6,-1,[9],[]
10,圣骑士,0,0,3,6,30000,7,-1,[10],[]
