序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,派发紧随二星狼人1,0,1,0,0,0,1,-1,[],[]
2,开场派发狼人1,0,0,0,0,5000,1,-1,[3],[]
3,前期狼人1,0,1,0,0,16000,1,-1,[4],[]
4,前期狼人2,0,1,0,0,15000,1,-1,[5],[]
5,前期狼人3,0,1,0,0,14000,1,-1,[6],[]
6,中期狼人1,0,1,0,0,16000,1,-1,[7],[]
7,中期狼人2,0,1,0,0,15000,1,-1,[8],[]
8,中期狼人3,0,1,0,0,14000,1,-1,[9],[]
9,中期狼人4,0,1,0,0,16000,1,-1,[10],[]
10,中期狼人5,0,1,0,0,15000,1,-1,[11],[]
11,中期狼人6,0,1,0,0,14000,1,-1,[12],[]
12,后期狼人1,0,1,0,0,16000,1,-1,[13],[]
13,后期狼人2,0,1,0,0,15000,1,-1,[14],[]
14,后期狼人3,0,1,0,0,14000,1,-1,[15],[]
15,循环狼人1,0,1,0,0,14000,1,-1,[15],[]
