序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,屠夫,1,0,0,0,5156,4,-1,[],[]
2,骷髅弓手,1,0,0,0,5682,1,-1,[],[]
3,骷髅召唤师,1,0,0,0,6156,2,-1,[],[]
4,骷髅弓手,1,0,0,0,6682,1,-1,[],[]
5,屠夫,1,0,0,0,7168,4,-1,[],[]
6,骷髅召唤师,1,0,0,0,7684,2,-1,[],[]
7,骷髅弓手,1,0,0,0,8154,1,-1,[],[]
8,雪女,1,0,0,0,8684,3,-1,[],[]
9,骷髅弓手,1,0,0,0,9198,1,-1,[],[]
10,屠夫,1,0,0,0,9684,4,-1,[],[]
11,骷髅弓手,1,0,0,0,10198,1,-1,[],[]
12,雪女,1,0,0,0,11684,3,-1,[],[]
