序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,火枪,0,0,0,0,28000,1,-1,[2],[]
2,火枪循环,0,1,0,0,30000,1,-1,[2],[]
3,盾妹,0,0,0,0,26000,2,-1,[4],[]
4,盾妹循环,0,1,0,0,30000,2,-1,[4],[]
5,盗贼,0,0,0,0,29000,3,-1,[6],[]
6,盗贼循环,0,1,0,0,30000,3,-1,[6],[]
7,120秒压力勇士,0,0,0,0,120000,4,-1,[],[]
8,120秒压力,0,0,0,0,121000,4,-1,[],[]
9,120秒压力,0,0,0,0,122000,4,-1,[],[]
10,180秒压力,0,0,0,0,180000,4,-1,[],[]
11,180秒压力,0,0,0,0,181000,4,-1,[],[]
12,180秒压力,0,0,0,0,182000,4,-1,[],[]
