序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,骷髅战士,0,0,0,0,15000,1,-1,[1],[]
2,僵尸,0,0,3,3,19000,2,-1,[2],[]
3,骷髅弓手,0,0,3,4,18000,3,-1,[3],[]
4,幽灵,0,0,3,4,25000,4,-1,[4],[]
5,死灵召唤师,0,0,3,5,30000,5,-1,[5],[]
6,屠夫,0,0,3,6,35000,7,-1,[6],[]
7,雪女倒计时,0,0,0,0,65000,0,-1,[8],[]
8,雪女,0,1,0,0,25000,6,-1,[8],[]
