序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,魔剑士,0,0,0,0,20000,1,-1,[],[]
2,铁匠,0,0,0,0,25000,2,-1,[],[]
3,牧师,0,0,0,0,30000,3,-1,[],[]
4,盾妹,0,0,0,0,40000,5,-1,[],[]
5,勇士,0,0,0,0,43000,4,-1,[],[]
6,魔剑士,0,0,0,0,55000,1,-1,[7],[]
7,魔剑循环,0,1,0,0,18000,1,-1,[7],[]
8,铁匠,0,0,0,0,59200,2,-1,[9],[]
9,铁匠循环,0,1,0,0,32000,2,-1,[9],[]
10,牧师,0,0,0,0,78000,3,-1,[],[]
11,盾妹,0,0,0,0,116000,5,-1,[],[]
12,牧师,0,0,0,0,120000,3,-1,[],[]
13,勇士,0,0,0,0,121000,4,-1,[],[]
14,勇士,0,0,0,0,147000,4,-1,[15],[]
15,勇士循环,0,1,0,0,15000,4,-1,[15],[]
16,牧师,0,0,0,0,151000,3,-1,[17],[]
17,牧师循环,0,1,0,0,43000,3,-1,[17],[]
