序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,派发紧随二星夜刃1,0,1,0,0,0,2,-1,[],[]
2,派发紧随二星精灵弓手2,0,1,0,0,0,1,-1,[],[]
3,开场派发夜刃,0,0,0,0,15000,2,-1,[4],[]
4,前期精灵弓手1,0,1,0,0,19000,1,-1,[5],[]
5,前期精灵弓手2,0,1,0,0,18000,1,-1,[6+2],[]
6,前期精灵弓手3,0,1,0,0,19000,1,-1,[7+2],[]
7,中期精灵弓手1,0,1,0,0,13000,1,-1,[8+1+2],[]
8,中期夜刃2,0,1,0,0,12000,2,-1,[9+1],[]
9,中期精灵弓手2,0,1,0,0,11000,1,-1,[10+1+2],[]
10,中期夜刃2,0,1,0,0,10000,2,-1,[11+1],[]
11,中期精灵弓手3,0,1,0,0,12000,1,-1,[12+1+2],[]
12,中期夜刃3,0,1,0,0,11000,2,-1,[13+1],[]
13,后期精灵弓手与夜刃1,0,1,0,0,13000,1,-1,[14+1+2],[]
14,后期精灵弓手2,0,1,0,0,12000,1,-1,[15+1+2],[]
15,后期精灵弓手与夜刃3,0,1,0,0,11000,2,-1,[16+1+2],[]
16,循环精灵弓手与夜刃1,0,1,0,0,10000,2,-1,[16+1+2],[]
,,,,,,,,,,
,,,,,,,,,.,
