序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,开局召唤僵尸,0,0,0,0,0,1,-1,[],[]
3,开局召唤死灵召唤师,0,0,0,0,0,6,-1,[5],[]
4,幽灵循环,0,1,0,0,45000,5,-1,[4],[]
5,死灵召唤师循环,0,1,0,0,30000,6,-1,[5],[]
6,毒物流循环,0,0,0,0,42000,,-1,[7],[]
7,僵尸,0,1,0,0,0,1,-1,[8+9+10+11],[]
8,死骑,0,1,0,0,1000,3,-1,[],[]
9,屠夫,0,1,0,0,2000,2,-1,[],[]
10,僵尸,0,1,0,0,3000,1,-1,[],[]
11,寡妇,0,1,0,0,4000,4,-1,[6],[]
12,boss血量50一波,0,0,2,58,0,,-1,[13+14+15],
13,先发幽灵,0,1,0,0,0,5,-1,[],[]
14,巫妖,0,1,0,0,1000,7,-1,[],[]
15,次发幽灵,0,1,0,0,6000,5,-1,[],[]
