序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,发兵跳转,0,0,0,0,8000,0,1,[2+3+4],[]
2,投石车,0,1,0,0,9000,2,1,[],[]
3,小鹿,0,1,0,0,7000,5,2,[],[]
4,水人,0,1,0,0,10000,6,3,[2+3+4],[]
5,900范围关闭前期发兵,0,0,1,900,100,0,3,[6],[1+2+3+4]
6,900范围跳转（中期）,0,1,0,0,15000,0,3,[7],[1+2+3+4]
7,发兵跳转,0,1,0,0,1000,0,1,[8+9],[]
8,狼人,0,1,0,0,9000,1,2,[],[]
9,投石车,0,1,0,0,9000,2,3,[10+11+12],[]
10,精灵弓手,0,1,0,0,9000,4,1,[],[]
11,精灵弓手,0,1,0,0,9000,4,1,[],[]
12,小精灵,0,1,0,0,9000,3,2,[13],[]
13,水人,0,1,0,0,10000,6,3,[7],[]
14,300范围跳转（后期）,0,0,1,300,11000,0,3,[15],[7+8+9+10+11+12+13]
15,发兵跳转,0,1,0,0,1000,0,1,[16+17],[]
16,狼人,0,1,0,0,5000,1,2,[],[]
17,投石车,0,1,0,0,7000,2,3,[18+19+20],[]
18,精灵弓手,0,1,0,0,7000,4,1,[],[]
19,精灵弓手,0,1,0,0,7000,4,1,[],[]
20,小精灵,0,1,0,0,8000,3,2,[21],[]
21,水人,0,1,0,0,8000,6,3,[15],[]
22,狼人（50血）,0,0,1,300,100,1,1,[],[]
23,狼人（50血）,0,0,1,300,2000,1,2,[],[]
24,小鹿（50血）,0,0,1,300,300,5,1,[],[]
25,小鹿（50血）,0,0,1,300,2000,5,2,[],[]
26,水人（50血）,0,0,1,300,500,5,3,[],[]
