±ÌÕ∑,
Ω‚ Õ,
KEY,VAL
string,int
Is_None,1
Is_FindTarget,2
Is_HasTarget,3
Is_MyHpLessThan,4
Is_SkillReady,5
Is_HasTargetPoint,6
Is_MyBuff,7
Is_RedOrBlue,8
Is_RandomForAI,9
Is_MyStarForAI,10
Is_MyAttribute,11
Is_EnemySoldierNumber,12
Is_MySoldierNumber,13
,
Do_None,1
Do_LockMe,2
Do_Clear,3
Do_ChangeStatus,4
Do_CastSkill,5
Do_LockPoints,6
Do_LockPointsForMe,7
Do_AddBuffForMe,8
Do_DelBuffForMe,9
Do_Count,10
Do_LuaEvent,11
,
None,0
Move,1
HitPower,2
Dead,3
AddBuffForMeOnce,4
DoCount,5
,
Is_HasBuffTarget,1
Is_HasSkillPoint,2
Is_BuffSkillReady,3
Is_Random,4
