±ÌÕ∑,
Ω‚ Õ,
KEY,VAL
string,int
ClassHPLine,1
ClassStatusID,2
ClassAIID,3
ClassHPGrowUp,4
ClassPAttackGrowUp,5
ClassMAttackGrowUp,6
ClassPGuardGrowUp,7
ClassMGuardGrowUp,8
ClassCritGrowUp,9
ClassAnimationID,101
ClassHPPosX,102
ClassHPPosY,103
ClassFireRange,104
ClassFarFireRange,105
ClassPAttack,106
ClassMAttack,107
ClassPGuard,108
ClassMGuard,109
ClassPPenetrate,110
ClassMPenetrate,111
ClassAttackSpeed,112
ClassSpeed,113
ClassHP,114
ClassRage,115
ClassRageRecover,116
ClassMP,117
ClassMPRecover,118
ClassStrong,119
ClassStrongRecover,120
ClassHaterd,121
ClassIntEnd,122
ClassFloatBegin=200,200
ClassScale,201
ClassEffectScale,202
ClassDefend,203
ClassResustance,204
ClassVampire,205
ClassRebound,206
ClassMiss,207
ClassCrit,208
ClassCritDamage,209
ClassMass,210
HP,301
MP,302
Rage,303
Strong,304
ExtraHP,305
Camp,306
BeAttackable,307
BeAoeable,308
BeBuffable,309
Ymin,310
X,311
Y,312
HitPowerX,313
HitPowerY,314
AnimationID,401
HPPosX,402
HPPosY,403
FireRange,404
FarFireRange,405
PAttack,406
MAttack,407
PGuard,408
MGuard,409
PPenetrate,410
MPenetrate,411
AttackSpeed,412
Speed,413
MaxHP,414
MaxRage,415
RageRecover,416
MaxMP,417
MPRecover,418
MaxStrong,419
StrongRecover,420
Haterd,421
Scale,501
EffectScale,502
Defend,503
Resustance,504
Vampire,505
Rebound,506
Miss,507
Crit,508
CritDamage,509
Mass,510
SpeedVar,601
PAttackVar,602
MAttackVar,603
PGuardVar,604
MGuardVar,605
PPenetrateVar,606
MPenetrateVar,607
RageVar,608
RageRecoverVar,609
MPVar,610
MPRecoverVar,611
StrongVar,612
StrongRecoverVar,613
DefendVar,701
ResustanceVar,702
VampireVar,703
ReboundVar,704
MissVar,705
CritVar,706
CritDamageVar,707
AttackSpeedVar,708
CardRace,801
CardSex,802
CardAttackType,803
CardVocation,804
CardLevel,805
EStatBegin=900,900
EStatCrit,901
EStatBeCrited,902
EStatDodge,903
EStatBeDodged,904
EStatBeTreated,905
EStatBrokenShield,906
EStatAddShield,907
EStatBeAttacked,908
EStatAttack,909
HeroCrystalLevel,1001
HeroMaxCrystal,1002
HeroCrystal,1003
HeroCrystalSpeedParam,1004
HeroCrystalSpeed,1005
